Data,Time,Resource_Name,Text,Comments_Count,Views,Count_Positive_Reactions,Reposts
2024-03-10,20:00,arkhangelsk__online,"Россияне стали больше тратить на домашних питомцев 

Собаки, кошки и попугайчики обходятся нашим соотечественникам все дороже – траты на них за год выросли на 20 млн рублей, подсчитали в «Сберспасибо» и ритейл-сети «Четыре лапы».

Одновременно с затратами растет и количество владельцев домашних питомцев. В год завести себе пушистого, пернатого или, например, панцирного друга решают примерно в 400 тысячах домохозяйств. 

Тенденция к увеличению числа животных в семье отмечается с начала пандемии в 2020 году, и продолжается до сих пор. Кстати, еще в 2019 году Россия вошла в топ-5 мировых лидеров по количеству домашних питомцев. Тогда они были у 68% семей, а в 2022 году -уже у 73%.

А сколько домашних животных у вас?",0,3736,8,4
2024-03-10,17:00,arkhangelsk__online,"Новая опасность: COVID-19 усиливает похмелье 

Американские медики установили, что коронавирус способен сделать похмелье более жестким и сильным. Правда, для этого необходимо проболеть вирусом достаточно долго. 

Данные о связи COVID-19 с алкоголем раскрыл доктор Гектор Бонилья. По его словам, одна пациентка жаловалась ему, что «не могла пошевелиться» всего-то после единственного бокала вина.

Другая заболевшая до заражения COVID-19 могла выпить семь коктейлей за ночь без каких-либо серьезных последствий, а после длительного коронавируса испытывает буквально «ужасные» последствия уже после одной дозы.

Механизм действия вируса медики видят в ослаблении гематоэнцефалического барьера, делающем мозг более восприимчивым к любым событиям, происходящим в организме.",3,6146,10,29
2024-03-10,16:00,arkhangelsk__online,"Российские туристы предпочитают платить за путешествие частями

Интересные факты о привычках и предпочтениях российских туристов выявил опрос Яндекса. Оказывается, больше половины наших соотечественников - 56% - предпочли бы оплачивать свои путешествия не сразу, а по частям.

Чуть больше людей – 64% - оплачивают отель с помощью дебетовой карты, и только 22% хранят верность наличным. 

Почти половина туристов начинает планировать поездку больше, чем за три месяца ее начала, а каждый четвертый успевает подготовить все необходимое за один месяц.
Почти две трети опрошенных путешествуют только один раз в год, еще почти треть - 2-3 раза ежегодно.",0,1677,0,0
2024-03-10,13:00,arkhangelsk__online,"Каргопольский Дом культуры и театра заработал после капремонта

Настоящее театральное пространство появилось в историческом центре Каргополя после капремонта здания Дома культуры и театра на улице Ленина. Коллектив народного театра намерен вернуться на историческую сцену в ближайшее время.

Проект местных властей под названием «Каргопольскому театру – быть!» высоко оценило жюри Всероссийского конкурса лучших проектов создания комфортной городской среды в малых городах и исторических поселениях, также его включили в президентский нацпроект «Жилье и городская среда».

За несколько лет в центре Каргополя появился сквер с деревянными городскими часами, скамейками и зелеными зонами, у театра отремонтировали дорожное покрытие и тротуары, неподалеку оформили арт-объекты «Театральная шлюпка», «Городская афиша» и «Театральная пристань».

В общем, каргопольским театралам можно только позавидовать.",0,2219,4,0
2024-03-10,12:00,arkhangelsk__online,"Географический диктант приглашает авторов вопросов

Русское географическое общество запустило международный конкурс вопросов Географического диктанта-2024. Принять в нем участие могут все желающие.

Главное условие, которое необходимо соблюдать – вопросы должны способствовать развитию интереса к географии и популяризации географических знаний и иметь только один правильный ответ. При выборе сложности вопроса стоит ориентироваться школьную программу по географии.

От одного автора на конкурс примут не более трех вопросов, лучшие из них в будущем окажутся на бланках Географического диктанта. Вопросы можно присылать организаторам конкурса до 14 июня этого года включительно.

Потренироваться задавать географические вопросы можно прямо здесь, в комментариях под этим постом.",0,1327,1,1
2024-03-10,10:00,arkhangelsk__online,"Роскачество рекомендовало покупать детям Колобка вместо Барби

Ведомство выявило высокий риск облысения у кукол Disney и Hasbro – некоторые могут даже биться током. 

Исследователи обратили внимание и на развивающий потенциал игры с такими куклами. Как пояснили в организации, игрушка должна помогать показывать разнообразные ситуации из взрослой жизни. Зарубежные товары не соответствуют этому.",2,2087,2,3
2024-03-09,20:00,arkhangelsk__online,"В России придумали сумки для сладкоежек

Бренд аксессуаров создал необычные сумки в виде знаменитых конфет «Рот Фронт» и «Белочка».

Стали бы носить такую?",0,4338,2,4
2024-03-09,17:00,arkhangelsk__online,"Волонтеры спасли маленькую нерпу, которую подкинули к кафе

Недавно в Ленобласти неизвестный рыбак оставил у входа в кафе коробку – в ней обнаружили детеныша нерпы, которому всего несколько часов от роду. Животное передали сотрудникам «Фонда друзей балтийской нерпы», которые пообещали приложить все возможное для его спасения.

Волонтеры признались, что это их самый маленький пациент за всё время работы.",7,13048,229,20
2024-03-09,15:00,arkhangelsk__online,"Россиянок призвали рожать до 24 лет

Вице-премьер Татьяна Голикова заявила, что женщины должны родить первого ребенка до 24 лет, потому что репродуктивный возраст короток. Вместе с этим она сказала, что так быстрее появятся второй и третий.

Согласны?",2,2896,6,7
2024-03-09,14:00,arkhangelsk__online,"Праздник прошел – рассказывайте, что вам подарили любимые мужчины. И присылайте в комментарии фотографии букетов💐",2,2746,1,1
